element,category,frequency_in_category,copies,tissue
890805,646,2,5,ILN
890805,648,1,2,ILN
890806,650,1,3,Jejunum
890807,650,1,3,Jejunum
890808,656,1,3,MLN
890809,656,1,3,MLN
890810,656,1,3,MLN
890811,641,1,2,Colon
890812,656,1,3,MLN
890813,656,1,3,MLN
890814,656,1,3,MLN
890815,662,1,3,SPL
890816,655,1,3,MLN
890817,655,1,3,MLN
890818,149,1,2,BM
890819,639,1,6,BM
890820,157,2,4,ILN
890821,172,1,2,SPL
890822,644,1,2,Ileum
890823,645,1,2,Ileum
890823,649,1,2,Jejunum
890824,647,1,2,ILN
890825,647,1,2,ILN
890826,647,1,2,ILN
890827,643,1,1,Ileum
890827,650,1,1,Jejunum
890828,648,1,2,ILN
890829,648,1,2,ILN
890830,643,1,2,Ileum
890831,648,2,4,ILN
890832,637,1,2,BM
890833,654,1,2,Lung
890834,646,1,2,ILN
890835,646,1,2,ILN
890836,646,1,2,ILN
890836,662,1,2,SPL
890837,646,1,2,ILN
890838,646,1,2,ILN
890839,646,1,2,ILN
890840,646,1,2,ILN
890841,658,1,2,PBL
890842,656,1,2,MLN
890843,656,1,2,MLN
890844,662,2,48,SPL
890845,656,1,2,MLN
890846,640,1,2,Colon
890847,656,1,2,MLN
890848,656,1,2,MLN
890849,656,1,2,MLN
890850,656,1,2,MLN
890851,656,1,2,MLN
890852,656,1,2,MLN
890853,656,1,2,MLN
890854,656,1,2,MLN
890855,663,1,2,SPL
890856,655,1,2,MLN
890857,649,1,2,Jejunum
890858,655,1,1,MLN
890858,656,1,1,MLN
890859,651,1,2,Jejunum
890860,637,1,1,BM
890860,658,7,170,PBL
890861,640,1,1,Colon
890861,646,3,28,ILN
890861,647,4,19,ILN
890861,648,4,19,ILN
890861,653,1,2,Lung
890861,654,2,9,Lung
890861,661,1,1,SPL
890861,663,2,6,SPL
890862,645,1,2,Ileum
890863,648,1,2,ILN
890864,641,1,22,Colon
890865,656,1,2,MLN
890865,658,1,78,PBL
890866,649,2,24,Jejunum
890866,650,1,4,Jejunum
890866,651,1,8,Jejunum
890867,656,1,20,MLN
890868,645,1,70,Ileum
890868,649,3,34,Jejunum
890868,650,3,51,Jejunum
890868,651,1,10,Jejunum
890869,653,2,25,Lung
890870,655,2,61,MLN
890871,646,1,2,ILN
890871,655,1,5,MLN
890872,638,1,18,BM
890873,646,1,1,ILN
890873,661,3,53,SPL
890874,649,1,42,Jejunum
890875,644,1,16,Ileum
890875,650,3,10,Jejunum
890876,655,1,5,MLN
890877,649,1,26,Jejunum
890877,650,5,14,Jejunum
890877,651,1,1,Jejunum
890878,637,1,15,BM
890879,645,1,10,Ileum
890879,662,1,32,SPL
890880,651,1,15,Jejunum
890881,662,1,4,SPL
890882,655,3,36,MLN
890883,647,1,3,ILN
890883,649,1,11,Jejunum
890884,641,1,28,Colon
890884,643,1,3,Ileum
890885,646,1,1,ILN
890885,647,1,1,ILN
890886,638,1,7,BM
890887,657,2,32,MLN
890888,657,1,9,MLN
890889,643,2,15,Ileum
890889,644,2,29,Ileum
890889,645,1,1,Ileum
890890,637,1,7,BM
890891,661,1,24,SPL
890891,662,1,3,SPL
890892,642,1,11,Colon
890892,643,1,4,Ileum
890892,644,1,26,Ileum
890893,638,1,6,BM
890894,655,1,25,MLN
890895,644,1,24,Ileum
890896,650,1,6,Jejunum
890897,637,1,24,BM
890898,661,1,24,SPL
890899,662,1,6,SPL
890900,637,1,23,BM
890901,637,1,23,BM
890902,663,1,6,SPL
890903,654,2,20,Lung
890903,663,2,5,SPL
890904,655,3,11,MLN
890904,657,2,25,MLN
890905,646,1,5,ILN
890905,647,1,1,ILN
890905,648,2,5,ILN
890906,638,1,21,BM
890907,638,1,21,BM
890908,653,1,2,Lung
890909,656,1,2,MLN
890909,657,1,19,MLN
890910,656,1,5,MLN
890911,657,1,21,MLN
890912,639,1,20,BM
890913,655,1,5,MLN
890914,655,1,20,MLN
890915,639,2,21,BM
890916,641,1,1,Colon
890916,647,1,1,ILN
890916,661,1,1,SPL
890916,662,1,1,SPL
890917,657,1,19,MLN
890918,638,3,27,BM
890918,639,1,15,BM
890919,649,1,4,Jejunum
890920,639,1,17,BM
890921,657,1,6,MLN
890922,174,1,1,SPL
890922,646,1,3,ILN
890922,647,1,1,ILN
890922,657,1,5,MLN
890922,661,1,3,SPL
890922,662,1,7,SPL
890922,663,1,2,SPL
890923,639,1,5,BM
890924,662,1,4,SPL
890925,661,3,20,SPL
890925,662,1,1,SPL
890926,657,1,17,MLN
890927,657,1,17,MLN
890928,638,1,3,BM
890929,641,1,16,Colon
890930,640,1,16,Colon
890930,641,1,6,Colon
890931,646,1,3,ILN
890931,648,1,2,ILN
890932,655,1,11,MLN
890932,656,2,10,MLN
890933,655,1,16,MLN
890934,657,1,16,MLN
890935,655,1,3,MLN
890936,657,1,15,MLN
890937,655,1,3,MLN
890938,642,1,14,Colon
890939,637,1,2,BM
890940,646,1,2,ILN
890941,649,3,25,Jejunum
890941,651,2,9,Jejunum
890942,649,1,2,Jejunum
890943,642,1,13,Colon
890944,655,1,2,MLN
890945,655,2,25,MLN
890945,657,2,14,MLN
890946,655,1,13,MLN
890947,657,1,13,MLN
890948,657,1,12,MLN
890949,657,1,12,MLN
890950,657,1,12,MLN
890951,640,3,15,Colon
890952,656,1,11,MLN
890953,663,1,11,SPL
890954,657,1,11,MLN
890955,639,1,10,BM
890956,638,1,10,BM
890957,638,2,13,BM
890958,661,1,10,SPL
890959,655,1,10,MLN
890960,657,1,10,MLN
890961,657,1,10,MLN
890962,642,2,12,Colon
890963,646,2,13,ILN
890964,662,1,9,SPL
890965,648,1,3,ILN
890965,663,1,9,SPL
890966,655,1,9,MLN
890966,657,1,9,MLN
890967,638,1,8,BM
890968,656,1,8,MLN
890969,655,1,8,MLN
890970,655,1,8,MLN
890971,657,1,8,MLN
890972,657,1,8,MLN
890973,657,1,8,MLN
890974,657,1,8,MLN
890975,657,3,17,MLN
890976,650,1,7,Jejunum
890977,656,1,7,MLN
890978,656,1,7,MLN
890979,661,1,7,SPL
890980,655,1,7,MLN
890981,655,1,7,MLN
890982,657,2,10,MLN
890983,657,1,7,MLN
890984,646,3,12,ILN
890984,647,1,3,ILN
890984,648,1,5,ILN
890985,158,1,1,ILN
890985,646,1,5,ILN
890986,655,1,5,MLN
890986,656,1,6,MLN
890987,662,1,6,SPL
890988,662,1,6,SPL
890989,655,1,6,MLN
890990,655,2,8,MLN
890991,637,2,8,BM
890992,646,1,5,ILN
890993,646,1,5,ILN
890994,646,1,5,ILN
890994,648,1,2,ILN
890994,662,1,2,SPL
890994,663,1,5,SPL
890995,646,1,5,ILN
890996,656,1,5,MLN
890997,154,1,3,Ileum
890997,645,1,26,Ileum
890997,649,1,34,Jejunum
890997,662,4,25,SPL
890998,650,2,19,Jejunum
890999,662,1,14,SPL
891000,655,1,5,MLN
891001,663,1,11,SPL
891002,638,1,2,BM
891003,657,1,5,MLN
891004,657,1,5,MLN
891005,657,1,5,MLN
891006,657,1,5,MLN
891007,657,2,9,MLN
891008,644,1,4,Ileum
891009,639,1,4,BM
891010,646,1,4,ILN
891011,649,1,4,Jejunum
891012,655,2,6,MLN
891013,655,1,4,MLN
891014,655,1,4,MLN
891015,657,1,4,MLN
891016,657,2,8,MLN
891017,657,1,4,MLN
891018,637,1,3,BM
891019,657,1,2,MLN
891020,657,1,4,MLN
891021,645,1,3,Ileum
891022,647,1,3,ILN
891023,656,1,3,MLN
891024,656,1,3,MLN
891025,655,1,3,MLN
891026,655,1,3,MLN
891027,657,2,5,MLN
891028,638,1,2,BM
891029,648,1,2,ILN
891030,648,1,2,ILN
891031,646,1,2,ILN
891032,656,1,2,MLN
891033,656,1,2,MLN
891034,656,1,2,MLN
891035,656,1,2,MLN
891036,662,1,2,SPL
891037,662,1,2,SPL
891038,663,1,2,SPL
891039,655,1,2,MLN
891040,655,1,2,MLN
891041,655,1,2,MLN
891042,655,1,2,MLN
891043,655,1,2,MLN
891044,657,2,4,MLN
891045,657,1,2,MLN
891046,657,2,4,MLN
891047,661,1,2,SPL
891048,655,1,2,MLN
891049,637,1,16,BM
891050,158,1,9,ILN
891050,159,1,1,ILN
891050,648,1,2,ILN
891050,661,1,4,SPL
891051,657,1,9,MLN
891052,156,1,4,Ileum
891052,640,1,2,Colon
891053,656,1,2,MLN
891054,656,1,2,MLN
891055,639,1,3,BM
891056,637,1,3,BM
891057,648,1,3,ILN
891058,640,1,1,Colon
891058,641,1,1,Colon
891059,639,1,2,BM
891060,639,1,18,BM
891061,657,1,2,MLN
891062,641,1,1,Colon
891062,642,1,2,Colon
891063,641,1,1,Colon
891063,643,1,1,Ileum
891064,639,1,2,BM
891065,639,1,2,BM
891066,643,1,2,Ileum
891067,654,1,2,Lung
891068,640,1,2,Colon
891069,659,1,2,PBL
891070,660,1,2,PBL
891071,649,1,2,Jejunum
891072,663,1,2,SPL
891073,663,1,2,SPL
891074,661,1,2,SPL
891075,646,1,8,ILN
891076,656,1,3,MLN
891077,638,1,2,BM
891078,648,1,2,ILN
891079,663,1,2,SPL
891080,148,1,2,BM
891080,151,2,3,Colon
891080,152,1,2,Colon
891080,153,1,1,Colon
891080,156,2,3,Ileum
891080,160,1,1,Jejunum
891080,162,1,1,Jejunum
891080,165,2,6,Lung
891080,168,1,6,MLN
891080,169,35,1310,PBL
891080,173,2,8,SPL
891081,641,1,25,Colon
891082,643,1,2,Ileum
891083,650,1,2,Jejunum
891084,660,1,2,PBL
891085,649,1,2,Jejunum
891086,661,1,2,SPL
891087,639,1,2,BM
891088,643,3,30,Ileum
891089,637,1,15,BM
891090,645,1,11,Ileum
891091,639,1,7,BM
891091,660,1,1,PBL
891092,637,1,2,BM
891092,639,1,1,BM
891093,154,8,357,Ileum
891093,643,1,55,Ileum
891093,644,3,23,Ileum
891093,645,8,292,Ileum
891093,650,1,16,Jejunum
891094,657,5,161,MLN
891095,639,1,1,BM
891095,645,1,1,Ileum
891095,655,3,76,MLN
891095,656,2,24,MLN
891095,657,7,240,MLN
891096,653,2,115,Lung
891097,157,2,99,ILN
891097,647,2,24,ILN
891097,648,3,21,ILN
891098,157,1,2,ILN
891098,657,1,80,MLN
891099,655,1,10,MLN
891099,657,4,157,MLN
891100,158,1,1,ILN
891100,165,1,30,Lung
891100,640,1,4,Colon
891100,646,5,109,ILN
891100,647,2,24,ILN
891100,648,2,35,ILN
891100,654,3,74,Lung
891101,655,2,66,MLN
891102,650,1,61,Jejunum
891103,643,1,1,Ileum
891103,644,1,3,Ileum
891104,647,2,19,ILN
891104,649,2,58,Jejunum
891105,159,2,51,ILN
891106,646,1,40,ILN
891106,647,1,13,ILN
891107,655,1,39,MLN
891108,154,1,2,Ileum
891108,156,1,3,Ileum
891108,642,2,61,Colon
891108,650,1,19,Jejunum
891109,650,1,31,Jejunum
891110,159,1,24,ILN
891111,656,1,24,MLN
891112,663,1,24,SPL
891113,648,1,5,ILN
891114,657,1,24,MLN
891115,657,1,2,MLN
891116,656,1,23,MLN
891117,149,1,22,BM
891118,158,1,2,ILN
891118,647,1,20,ILN
891119,646,1,21,ILN
891119,648,1,1,ILN
891120,656,1,21,MLN
891121,646,1,19,ILN
891122,657,1,64,MLN
891122,661,2,6,SPL
891123,657,3,28,MLN
891124,645,1,6,Ileum
891124,651,1,1,Jejunum
891125,646,1,11,ILN
891125,647,2,6,ILN
891125,648,3,33,ILN
891126,640,1,2,Colon
891127,655,2,35,MLN
891128,646,1,17,ILN
891129,646,1,16,ILN
891130,646,1,16,ILN
891131,648,1,14,ILN
891132,646,3,20,ILN
891132,647,1,12,ILN
891132,648,1,2,ILN
891133,641,1,13,Colon
891134,646,1,13,ILN
891135,646,1,13,ILN
891136,655,1,9,MLN
891136,656,1,13,MLN
891137,662,1,13,SPL
891138,158,1,12,ILN
891139,647,1,7,ILN
891139,648,1,12,ILN
891140,663,2,14,SPL
891141,159,1,9,ILN
891142,661,1,9,SPL
891143,158,2,10,ILN
891144,646,1,8,ILN
891145,656,1,8,MLN
891146,661,1,8,SPL
891147,647,1,7,ILN
891148,663,2,9,SPL
891149,647,1,6,ILN
891150,648,1,6,ILN
891151,646,1,6,ILN
891152,646,1,6,ILN
891153,646,1,5,ILN
891154,648,1,4,ILN
891155,648,2,7,ILN
891156,661,1,4,SPL
891157,645,1,3,Ileum
891158,157,1,2,ILN
891159,159,1,2,ILN
891160,647,1,2,ILN
891161,647,1,2,ILN
891162,640,1,2,Colon
891163,656,1,2,MLN
891164,663,1,2,SPL
891165,656,1,5,MLN
891166,638,1,17,BM
891167,643,1,16,Ileum
891168,649,1,14,Jejunum
891169,637,1,13,BM
891170,655,1,13,MLN
891171,649,1,1,Jejunum
891171,658,18,305,PBL
891172,645,1,8,Ileum
891172,651,1,8,Jejunum
891173,644,1,5,Ileum
891174,651,1,5,Jejunum
891175,661,1,5,SPL
891176,656,1,4,MLN
891177,639,1,3,BM
891178,656,1,2,MLN
891179,656,1,2,MLN
891180,637,2,7,BM
891180,639,1,26,BM
891181,646,1,4,ILN
891182,661,1,2,SPL
891183,638,1,9,BM
891184,657,3,172,MLN
891185,658,3,145,PBL
891186,662,1,2,SPL
891187,657,1,108,MLN
891188,152,1,1,Colon
891188,158,13,160,ILN
891188,159,1,4,ILN
891188,648,1,1,ILN
891189,661,1,2,SPL
891190,640,1,12,Colon
891190,641,2,23,Colon
891190,642,1,54,Colon
891191,658,4,110,PBL
891192,643,1,24,Ileum
891192,644,2,29,Ileum
891192,649,1,12,Jejunum
891192,650,2,14,Jejunum
891192,651,2,39,Jejunum
891193,656,1,69,MLN
891194,657,1,48,MLN
891195,160,1,5,Jejunum
891195,642,1,12,Colon
891195,643,3,35,Ileum
891195,644,1,26,Ileum
891195,649,2,36,Jejunum
891195,650,2,16,Jejunum
891195,651,4,65,Jejunum
891195,661,1,6,SPL
891196,660,1,51,PBL
891197,639,2,20,BM
891198,644,2,47,Ileum
891199,648,4,26,ILN
891200,645,1,10,Ileum
891200,649,3,15,Jejunum
891200,650,1,3,Jejunum
891200,651,2,34,Jejunum
891201,647,2,11,ILN
891202,660,1,8,PBL
891203,154,2,20,Ileum
891203,649,3,19,Jejunum
891203,651,2,16,Jejunum
891204,657,3,12,MLN
891205,643,1,15,Ileum
891205,649,2,13,Jejunum
891206,656,1,6,MLN
891207,651,1,26,Jejunum
891208,650,1,2,Jejunum
891209,644,1,24,Ileum
891210,655,1,23,MLN
891211,661,1,11,SPL
891211,663,1,10,SPL
891212,641,2,28,Colon
891213,655,1,20,MLN
891214,654,1,19,Lung
891215,641,1,4,Colon
891215,644,1,18,Ileum
891216,640,1,4,Colon
891216,642,1,18,Colon
891217,656,1,18,MLN
891218,154,1,5,Ileum
891218,644,1,7,Ileum
891218,645,2,23,Ileum
891218,650,1,2,Jejunum
891218,655,1,17,MLN
891219,656,1,17,MLN
891220,649,1,4,Jejunum
891220,651,2,28,Jejunum
891221,154,1,2,Ileum
891221,644,2,15,Ileum
891222,640,1,2,Colon
891223,640,1,12,Colon
891223,641,2,17,Colon
891224,643,1,14,Ileum
891224,651,2,4,Jejunum
891225,657,1,15,MLN
891226,640,1,4,Colon
891226,641,1,6,Colon
891226,645,1,8,Ileum
891226,650,1,6,Jejunum
891227,640,1,5,Colon
891227,642,1,9,Colon
891228,638,1,14,BM
891229,642,1,1,Colon
891229,643,1,13,Ileum
891230,646,2,18,ILN
891230,647,2,9,ILN
891230,648,1,3,ILN
891231,159,1,1,ILN
891231,646,1,1,ILN
891231,647,1,1,ILN
891231,662,1,10,SPL
891231,663,1,1,SPL
891232,655,1,14,MLN
891233,155,1,1,Ileum
891233,160,1,13,Jejunum
891233,641,1,4,Colon
891233,649,1,2,Jejunum
891233,651,1,3,Jejunum
891233,661,1,5,SPL
891234,646,1,12,ILN
891234,647,1,1,ILN
891234,648,1,3,ILN
891235,644,1,12,Ileum
891236,638,1,12,BM
891237,643,1,12,Ileum
891238,649,1,12,Jejunum
891239,655,1,12,MLN
891240,655,1,12,MLN
891241,637,1,11,BM
891242,640,1,8,Colon
891242,642,1,3,Colon
891243,662,1,11,SPL
891244,157,1,2,ILN
891244,662,1,9,SPL
891245,644,1,10,Ileum
891245,651,1,8,Jejunum
891246,639,1,10,BM
891247,651,1,10,Jejunum
891248,646,2,3,ILN
891248,648,1,2,ILN
891248,649,1,7,Jejunum
891248,661,1,1,SPL
891248,662,1,1,SPL
891248,663,3,12,SPL
891249,655,1,10,MLN
891250,644,1,9,Ileum
891250,649,1,5,Jejunum
891251,164,8,59,Lung
891252,642,2,13,Colon
891253,642,1,9,Colon
891254,642,1,9,Colon
891255,639,1,9,BM
891256,646,1,3,ILN
891256,647,1,2,ILN
891256,648,2,2,ILN
891256,663,1,2,SPL
891257,650,1,9,Jejunum
891258,656,1,9,MLN
891259,649,1,3,Jejunum
891259,662,1,6,SPL
891260,655,1,9,MLN
891261,655,1,9,MLN
891262,154,1,3,Ileum
891262,645,1,5,Ileum
891262,649,1,6,Jejunum
891263,640,1,8,Colon
891264,152,1,1,Colon
891264,640,1,7,Colon
891265,648,1,2,ILN
891266,646,5,25,ILN
891266,647,2,5,ILN
891266,648,4,10,ILN
891267,172,1,24,SPL
891268,172,2,5,SPL
891268,641,1,7,Colon
891268,646,1,5,ILN
891268,661,2,10,SPL
891268,663,3,14,SPL
891269,650,2,10,Jejunum
891270,650,1,8,Jejunum
891271,651,2,14,Jejunum
891272,651,1,8,Jejunum
891273,644,1,2,Ileum
891273,649,1,4,Jejunum
891273,650,1,4,Jejunum
891273,651,1,4,Jejunum
891274,655,1,8,MLN
891275,638,1,7,BM
891276,638,1,7,BM
891277,637,1,7,BM
891278,640,1,7,Colon
891279,655,1,2,MLN
891279,656,1,7,MLN
891280,662,1,7,SPL
891281,661,1,7,SPL
891282,655,2,9,MLN
891283,655,1,7,MLN
891284,655,2,10,MLN
891285,643,1,6,Ileum
891286,649,1,6,Jejunum
891287,656,1,3,MLN
891288,662,1,3,SPL
891288,663,1,3,SPL
891289,640,1,2,Colon
891289,641,2,5,Colon
891290,638,1,5,BM
891291,648,2,7,ILN
891292,637,1,5,BM
891293,650,2,8,Jejunum
891294,656,1,5,MLN
891295,656,2,7,MLN
891296,651,1,5,Jejunum
891297,649,1,5,Jejunum
891298,662,1,5,SPL
891299,655,1,5,MLN
891300,655,1,5,MLN
891301,655,1,5,MLN
891302,644,1,4,Ileum
891303,642,1,4,Colon
891304,647,1,4,ILN
891304,648,1,2,ILN
891305,644,1,4,Ileum
891306,640,1,4,Colon
891307,646,1,4,ILN
891308,646,1,4,ILN
891309,650,1,4,Jejunum
891310,643,1,3,Ileum
891311,637,1,2,BM
891312,656,1,4,MLN
891313,656,1,4,MLN
891314,646,1,2,ILN
891315,662,1,4,SPL
891316,649,1,1,Jejunum
891316,652,1,1,Lung
891317,661,1,4,SPL
891318,655,1,4,MLN
891319,655,1,4,MLN
891320,655,1,4,MLN
891321,655,1,4,MLN
891322,655,1,4,MLN
891323,645,1,3,Ileum
891324,647,1,3,ILN
891325,638,1,3,BM
891325,647,1,3,ILN
891326,646,1,1,ILN
891326,647,1,2,ILN
891327,648,1,3,ILN
891328,648,1,3,ILN
891329,646,1,1,ILN
891329,648,1,2,ILN
891330,640,1,3,Colon
891331,640,1,3,Colon
891332,646,1,2,ILN
891332,648,1,1,ILN
891333,646,1,3,ILN
891334,646,1,3,ILN
891335,650,1,3,Jejunum
891336,659,1,3,PBL
891337,656,2,5,MLN
891338,651,1,3,Jejunum
891339,649,1,3,Jejunum
891340,649,1,3,Jejunum
891341,663,1,3,SPL
891342,663,1,3,SPL
891343,661,1,3,SPL
891344,661,1,3,SPL
891345,661,1,3,SPL
891346,655,1,3,MLN
891347,655,1,3,MLN
891348,655,1,3,MLN
891349,154,1,2,Ileum
891350,153,1,1,Colon
891350,641,1,1,Colon
891351,172,1,2,SPL
891352,172,1,2,SPL
891353,172,1,2,SPL
891354,641,1,2,Colon
891355,641,1,2,Colon
891356,645,1,2,Ileum
891357,645,1,2,Ileum
891358,645,1,2,Ileum
891359,647,1,2,ILN
891360,647,1,2,ILN
891361,647,1,2,ILN
891362,647,1,2,ILN
891363,638,1,2,BM
891364,638,1,2,BM
891365,638,1,2,BM
891366,639,1,2,BM
891367,639,1,2,BM
891368,648,1,2,ILN
891369,648,1,2,ILN
891370,640,1,1,Colon
891370,641,1,1,Colon
891371,646,1,2,ILN
891372,646,1,2,ILN
891373,646,1,2,ILN
891374,656,1,2,MLN
891375,646,1,3,ILN
891376,656,1,2,MLN
891377,651,1,3,Jejunum
891378,655,1,3,MLN
891379,656,1,2,MLN
891380,647,1,2,ILN
891381,656,1,2,MLN
891382,646,1,2,ILN
891383,655,1,2,MLN
891384,656,1,2,MLN
891385,656,1,2,MLN
891386,656,1,2,MLN
891387,656,1,2,MLN
891388,656,1,2,MLN
891389,656,1,2,MLN
891390,656,1,2,MLN
891391,651,1,2,Jejunum
891392,649,1,1,Jejunum
891392,651,1,1,Jejunum
891393,662,1,2,SPL
891394,663,1,2,SPL
891395,661,1,2,SPL
891396,655,1,2,MLN
891397,655,1,2,MLN
891398,655,1,2,MLN
891399,655,1,2,MLN
891400,659,1,2,PBL
891401,646,2,32,ILN
891401,652,3,35,Lung
891401,653,3,83,Lung
891401,654,5,38,Lung
891402,655,2,36,MLN
891402,656,1,10,MLN
891402,657,3,77,MLN
891403,160,2,3,Jejunum
891403,161,1,9,Jejunum
891403,645,2,11,Ileum
891403,647,1,1,ILN
891403,649,10,176,Jejunum
891403,650,5,51,Jejunum
891403,651,9,149,Jejunum
891404,645,4,70,Ileum
891404,649,3,33,Jejunum
891404,650,1,8,Jejunum
891405,660,1,87,PBL
891406,653,2,82,Lung
891407,160,1,4,Jejunum
891407,161,2,4,Jejunum
891407,640,1,26,Colon
891407,642,1,42,Colon
891407,647,1,1,ILN
891407,648,2,8,ILN
891407,649,6,84,Jejunum
891407,650,8,111,Jejunum
891407,651,5,33,Jejunum
891408,657,1,80,MLN
891409,660,2,81,PBL
891410,640,1,73,Colon
891411,660,2,75,PBL
891412,656,1,21,MLN
891412,657,1,42,MLN
891413,156,1,44,Ileum
891413,643,1,13,Ileum
891413,645,1,8,Ileum
891414,657,1,57,MLN
891415,656,2,6,MLN
891415,657,3,52,MLN
891416,657,1,53,MLN
891417,639,1,23,BM
891417,657,1,52,MLN
891418,657,1,52,MLN
891419,657,2,54,MLN
891420,649,1,51,Jejunum
891420,650,1,28,Jejunum
891421,657,2,55,MLN
891422,656,1,29,MLN
891422,657,1,21,MLN
891423,638,1,45,BM
891424,657,1,45,MLN
891425,148,1,44,BM
891426,160,1,10,Jejunum
891426,644,1,17,Ileum
891426,645,2,25,Ileum
891426,649,2,4,Jejunum
891426,651,2,7,Jejunum
891427,646,1,2,ILN
891427,648,1,1,ILN
891428,637,2,51,BM
891429,655,1,14,MLN
891429,657,2,51,MLN
891430,641,1,2,Colon
891430,645,3,44,Ileum
891431,657,1,42,MLN
891432,640,1,41,Colon
891433,644,1,40,Ileum
891434,649,1,40,Jejunum
891435,163,2,42,Lung
891436,657,2,41,MLN
891437,154,2,29,Ileum
891437,160,1,2,Jejunum
891437,644,1,14,Ileum
891437,648,1,3,ILN
891437,649,1,25,Jejunum
891437,650,1,7,Jejunum
891437,651,2,8,Jejunum
891438,638,1,35,BM
891438,662,1,1,SPL
891439,638,1,36,BM
891440,646,1,35,ILN
891440,647,1,1,ILN
891441,649,1,36,Jejunum
891442,174,1,1,SPL
891442,644,1,13,Ileum
891442,661,1,3,SPL
891442,662,1,17,SPL
891442,663,1,1,SPL
891443,656,1,2,MLN
891443,657,1,33,MLN
891444,637,1,34,BM
891445,161,1,7,Jejunum
891445,649,1,16,Jejunum
891445,650,1,21,Jejunum
891445,651,1,11,Jejunum
891446,657,1,32,MLN
891447,638,2,37,BM
891448,638,3,38,BM
891449,640,1,30,Colon
891450,655,1,30,MLN
891450,661,1,3,SPL
891451,651,1,29,Jejunum
891452,646,2,16,ILN
891452,647,1,7,ILN
891452,648,3,16,ILN
891453,644,1,27,Ileum
891454,646,1,2,ILN
891454,651,2,27,Jejunum
891455,657,1,26,MLN
891456,640,1,22,Colon
891456,663,1,3,SPL
891457,646,1,25,ILN
891457,649,1,22,Jejunum
891457,651,1,6,Jejunum
891458,157,1,19,ILN
891458,158,1,6,ILN
891458,646,1,5,ILN
891458,648,1,3,ILN
891458,654,1,10,Lung
891459,645,1,24,Ileum
891460,643,1,24,Ileum
891461,640,1,19,Colon
891461,641,1,5,Colon
891462,649,1,24,Jejunum
891463,657,1,24,MLN
891464,657,1,23,MLN
891465,150,1,22,BM
891466,637,2,24,BM
891467,646,1,22,ILN
891468,646,2,29,ILN
891469,646,1,13,ILN
891469,657,3,43,MLN
891470,640,1,20,Colon
891471,157,1,7,ILN
891471,646,1,26,ILN
891471,661,2,47,SPL
891472,160,1,19,Jejunum
891473,657,2,48,MLN
891474,638,1,19,BM
891475,655,2,27,MLN
891476,648,1,16,ILN
891476,661,1,12,SPL
891476,663,1,3,SPL
891477,647,1,9,ILN
891478,646,1,17,ILN
891478,647,1,2,ILN
891479,160,1,18,Jejunum
891480,150,1,1,BM
891480,639,1,17,BM
891481,637,1,9,BM
891481,638,1,9,BM
891481,639,1,13,BM
891482,656,1,18,MLN
891483,655,1,18,MLN
891484,655,1,18,MLN
891485,150,1,17,BM
891486,638,1,17,BM
891487,643,1,15,Ileum
891487,650,1,2,Jejunum
891488,640,3,28,Colon
891489,646,1,17,ILN
891490,646,1,15,ILN
891490,647,2,18,ILN
891490,648,2,4,ILN
891491,650,1,17,Jejunum
891492,657,1,17,MLN
891493,643,1,16,Ileum
891494,157,1,2,ILN
891494,158,1,1,ILN
891494,646,2,16,ILN
891494,648,4,9,ILN
891495,153,1,10,Colon
891495,650,1,16,Jejunum
891496,655,2,18,MLN
891497,655,3,39,MLN
891497,656,1,15,MLN
891498,657,5,48,MLN
891499,647,1,2,ILN
891499,657,2,19,MLN
891500,642,1,1,Colon
891500,645,1,14,Ileum
891501,149,1,4,BM
891501,639,1,11,BM
891502,646,1,15,ILN
891502,648,1,5,ILN
891503,646,1,15,ILN
891504,652,1,15,Lung
891505,650,1,15,Jejunum
891506,663,1,15,SPL
891507,657,1,15,MLN
891508,657,1,15,MLN
891509,155,1,14,Ileum
891510,150,1,14,BM
891511,638,1,14,BM
891512,640,1,7,Colon
891512,642,2,7,Colon
891513,652,1,14,Lung
891514,656,1,14,MLN
891515,649,1,14,Jejunum
891516,157,1,13,ILN
891517,639,1,13,BM
891518,648,2,15,ILN
891519,637,1,13,BM
891520,157,1,6,ILN
891520,646,1,13,ILN
891521,651,1,13,Jejunum
891522,649,1,13,Jejunum
891523,653,1,21,Lung
891524,174,1,1,SPL
891524,662,1,12,SPL
891525,640,1,3,Colon
891525,641,2,6,Colon
891525,642,1,4,Colon
891526,657,1,13,MLN
891527,653,1,7,Lung
891528,149,2,14,BM
891529,644,1,5,Ileum
891530,641,2,17,Colon
891530,642,1,2,Colon
891531,655,1,5,MLN
891532,641,1,12,Colon
891532,646,1,10,ILN
891533,644,1,4,Ileum
891534,646,1,5,ILN
891534,647,1,12,ILN
891535,639,1,3,BM
891536,639,1,12,BM
891537,638,1,2,BM
891538,656,1,3,MLN
891539,640,1,12,Colon
891540,656,1,3,MLN
891541,646,1,12,ILN
891542,646,1,12,ILN
891543,644,1,2,Ileum
891544,165,1,1,Lung
891544,647,1,4,ILN
891544,653,1,7,Lung
891545,640,1,1,Colon
891545,645,1,1,Ileum
891546,656,1,12,MLN
891547,653,1,2,Lung
891548,651,1,12,Jejunum
891549,653,1,2,Lung
891550,657,1,12,MLN
891551,651,1,2,Jejunum
891552,655,1,7,MLN
891552,657,1,12,MLN
