element,category,frequency_in_category,copies,tissue
918062,655,1,3,MLN
918063,642,1,2,Colon
918064,638,2,64,BM
918065,638,1,11,BM
918066,648,1,5,ILN
918067,657,1,2,MLN
918068,656,1,1,MLN
918068,657,1,10,MLN
918069,646,1,4,ILN
918069,647,1,2,ILN
918069,648,1,1,ILN
918070,646,1,3,ILN
918070,647,1,1,ILN
918070,648,1,1,ILN
918070,662,1,1,SPL
918071,639,1,5,BM
918072,652,2,10,Lung
918073,645,1,4,Ileum
918074,655,1,1,MLN
918074,657,1,3,MLN
918075,657,1,3,MLN
918076,645,1,2,Ileum
918077,646,1,2,ILN
918077,647,1,2,ILN
918078,639,1,2,BM
918079,638,1,2,BM
918080,651,1,2,Jejunum
918081,649,1,2,Jejunum
918082,655,1,2,MLN
918083,657,1,2,MLN
918084,657,1,2,MLN
918085,658,1,2,PBL
918085,659,1,2,PBL
918085,660,1,1,PBL
918086,661,1,7,SPL
918087,655,1,2,MLN
918088,658,2,4,PBL
918089,657,1,5,MLN
918090,645,1,2,Ileum
918091,657,1,2,MLN
918092,645,1,2,Ileum
918092,646,1,2,ILN
918093,646,1,6,ILN
918094,639,1,2,BM
918095,174,2,6,SPL
918095,647,1,5,ILN
918095,661,1,5,SPL
918095,662,1,12,SPL
918096,655,1,21,MLN
918097,650,1,4,Jejunum
918098,656,1,4,MLN
918099,662,1,4,SPL
918100,647,1,2,ILN
918101,650,1,3,Jejunum
918102,647,1,2,ILN
918103,656,1,2,MLN
918104,646,1,2,ILN
918105,655,1,2,MLN
918106,651,1,1,Jejunum
918106,655,1,1,MLN
918107,655,1,27,MLN
918108,652,13,371,Lung
918108,655,1,1,MLN
918109,151,6,35,Colon
918109,153,2,3,Colon
918109,640,13,274,Colon
918109,642,3,48,Colon
918109,649,1,1,Jejunum
918109,651,2,32,Jejunum
918110,151,6,29,Colon
918110,153,8,52,Colon
918110,154,1,1,Ileum
918110,155,2,6,Ileum
918110,160,1,13,Jejunum
918110,162,1,1,Jejunum
918110,640,15,354,Colon
918110,641,2,7,Colon
918110,642,2,16,Colon
918110,643,1,16,Ileum
918110,647,1,9,ILN
918110,649,5,171,Jejunum
918110,650,5,120,Jejunum
918110,651,2,13,Jejunum
918111,153,3,10,Colon
918111,640,5,228,Colon
918111,642,10,87,Colon
918112,660,5,214,PBL
918113,658,6,212,PBL
918114,640,1,185,Colon
918115,154,1,63,Ileum
918115,157,1,6,ILN
918115,640,4,174,Colon
918115,643,3,67,Ileum
918115,644,1,52,Ileum
918115,646,2,32,ILN
918115,648,1,4,ILN
918115,662,1,5,SPL
918115,663,1,7,SPL
918116,151,1,7,Colon
918116,155,7,85,Ileum
918116,161,2,14,Jejunum
918116,640,4,98,Colon
918116,641,5,35,Colon
918116,642,3,37,Colon
918116,644,10,257,Ileum
918116,649,4,229,Jejunum
918116,650,1,15,Jejunum
918116,651,3,37,Jejunum
918117,642,1,2,Colon
918117,643,4,144,Ileum
918117,645,3,144,Ileum
918118,651,3,145,Jejunum
918119,657,2,139,MLN
918120,645,3,133,Ileum
918120,662,1,3,SPL
918121,160,2,15,Jejunum
918121,162,2,15,Jejunum
918121,645,1,36,Ileum
918121,649,4,43,Jejunum
918121,650,1,19,Jejunum
918121,651,3,88,Jejunum
918122,646,1,5,ILN
918123,157,2,71,ILN
918123,158,1,9,ILN
918123,159,1,16,ILN
918123,172,1,1,SPL
918123,173,1,2,SPL
918123,646,1,2,ILN
918123,647,1,2,ILN
918123,648,1,7,ILN
918123,661,1,2,SPL
918123,662,2,6,SPL
918123,663,1,3,SPL
918124,151,1,3,Colon
918124,640,2,62,Colon
918124,641,1,12,Colon
918124,643,1,3,Ileum
918124,645,4,49,Ileum
918125,640,3,123,Colon
918125,655,1,1,MLN
918126,655,1,39,MLN
918126,657,1,44,MLN
918127,640,2,102,Colon
918128,657,1,80,MLN
918129,154,2,72,Ileum
918129,155,4,112,Ileum
918129,160,3,17,Jejunum
918129,643,3,40,Ileum
918129,644,1,4,Ileum
918129,645,1,2,Ileum
918129,649,1,28,Jejunum
918129,650,5,70,Jejunum
918129,651,6,68,Jejunum
918130,649,1,17,Jejunum
918130,651,3,67,Jejunum
918130,657,1,23,MLN
918130,661,1,12,SPL
918131,644,7,109,Ileum
918131,650,3,53,Jejunum
918132,657,1,67,MLN
918133,657,3,71,MLN
918134,157,1,6,ILN
918134,161,2,11,Jejunum
918134,640,1,5,Colon
918134,643,2,30,Ileum
918134,649,1,21,Jejunum
918134,651,3,70,Jejunum
918135,640,1,2,Colon
918136,649,2,66,Jejunum
918137,643,3,66,Ileum
918137,657,1,12,MLN
918138,654,1,56,Lung
918139,657,1,53,MLN
918140,637,1,1,BM
918140,640,1,15,Colon
